the girl who trod on the loaf h c andersen.txt, 83.52, 76.13, 90.86, 89.23, 71.13, 83.20, 78.21, 91.01, 90.10, 91.39
the girl without hands brothers grimm.txt, 57.62, 51.00, 60.88, 62.03, 60.32, 62.37, 59.11, 62.15, 57.31, 70.47
the glass coffin brothers grimm.txt, 60.08, 59.93, 57.71, 62.69, 69.69, 60.56, 64.91, 62.42, 55.78, 69.55
the glutton la fontain.txt, 1.334, 2.988, 2.187, 2.806, 3.569, 3.733, 2.294, 2.369, 3.924, 2.030
the gnome brothers grimm.txt, 49.51, 47.61, 49.39, 33.39, 32.37, 40.60, 39.62, 37.60, 40.08, 39.10
the goblin and the huckster h c andersen.txt, 34.79, 44.04, 42.60, 32.12, 49.91, 38.81, 35.00, 38.04, 37.02, 34.68
the goblin of adachigahara japanese writer.txt, 49.95, 44.28, 48.56, 43.45, 50.37, 42.28, 47.02, 39.81, 37.20, 41.42
the godfather brothers grimm.txt, 16.45, 19.12, 17.87, 19.03, 20.05, 17.27, 15.42, 15.16, 16.58, 14.49
the gold children brothers grimm.txt, 23.34, 24.98, 28.67, 21.14, 23.05, 24.33, 25.48, 25.24, 21.13, 24.64
the gold giving serpent indian writer.txt, 12.25, 13.14, 11.81, 14.20, 15.70, 8.944, 10.70, 10.12, 11.23, 10.47
